brand,orders,gross_sales,discount,tax,net_sales,average_order_value,average_discount
Thepla House By Tejals,21519,22250157.0,1452200.1199999321,1125400.6800000959,23627351.0,1097.98,28.43
Homely & Healthy,7171,3397115.0,537539.6699999918,102397.28000000028,3182614.0,443.82,62.74
