brand,total_orders,gross_sales,discount,net_sales,average_order_value
Thepla House By Tejals,21519,22250157.0,1452200.1199999321,23627351.0,1097.98
Homely & Healthy,7171,3397115.0,537539.6699999918,3182614.0,443.82
